sample_name,sample_dir,r1,r2,checksum
ALSTDI1,ALSTDI1,ALSTDI1_1.fq.gz,ALSTDI1_2.fq.gz,ALSTDI1_MD5.txt
ALSTDI10,ALSTDI10,ALSTDI10_1.fq.gz,ALSTDI10_2.fq.gz,ALSTDI10_MD5.txt
ALSTDI2,ALSTDI2,ALSTDI2_1.fq.gz,ALSTDI2_2.fq.gz,ALSTDI2_MD5.txt
ALSTDI3,ALSTDI3,ALSTDI3_1.fq.gz,ALSTDI3_2.fq.gz,ALSTDI3_MD5.txt
ALSTDI4,ALSTDI4,ALSTDI4_1.fq.gz,ALSTDI4_2.fq.gz,ALSTDI4_MD5.txt
ALSTDI5,ALSTDI5,ALSTDI5_1.fq.gz,ALSTDI5_2.fq.gz,ALSTDI5_MD5.txt
ALSTDI6,ALSTDI6,ALSTDI6_1.fq.gz,ALSTDI6_2.fq.gz,ALSTDI6_MD5.txt
ALSTDI7,ALSTDI7,ALSTDI7_1.fq.gz,ALSTDI7_2.fq.gz,ALSTDI7_MD5.txt
ALSTDI8,ALSTDI8,ALSTDI8_1.fq.gz,ALSTDI8_2.fq.gz,ALSTDI8_MD5.txt
ALSTDI9,ALSTDI9,ALSTDI9_1.fq.gz,ALSTDI9_2.fq.gz,ALSTDI9_MD5.txt
